2,12
4,6097
6,12526
8,18655
10,24961
12,24843
14,35065
16,37563
18,38238
20,44302
22,45796
24,53300
26,57280
28,65428
30,66141
32,73529
34,70284
36,80187
38,94062
40,82086
42,111814
44,108150
46,101675
48,96219
50,122927
52,116042
54,116243
56,117182
58,122219
60,114219
62,126483
64,136286
66,139533
68,149263
70,159692
72,146053
74,174748
76,150578
78,176866
80,167508
82,181422
84,157538
86,196965
88,199096
90,244427
92,211653
94,238800
96,251541
98,224444
100,239767
102,235995
104,275163
106,257756
108,285194
110,231950
112,260229
114,257568
116,257571
118,245461
